시도,세부지점,geocode,지점코드,포함유무,Note
서울,서울,11,108,T,
서울,관악산,11,116,F,사람이 거주하지 않거나 불충한 관측 자료 가진 관측소
부산,부산,26,159,T,
대구,대구,27,143,T,
대구,대구(기),27,176,F,사람이 거주하지 않거나 불충한 관측 자료 가진 관측소
인천,강화,28,201,F,사람이 거주하지 않거나 불충한 관측 자료 가진 관측소
인천,백령도,28,102,F,사람이 거주하지 않거나 불충한 관측 자료 가진 관측소
인천,인천,28,112,T,
광주,광주,29,156,T,
대전,대전,30,133,T,
울산,울산,31,152,T,
세종,세종,50,239,T,"2014년 이전 자료 존재X, 2015년 이후 자료도 많지 않음"
경기도,동두천,41,98,T,
경기도,수원,41,119,T,
경기도,양평,41,202,T,
경기도,이천,41,203,T,
경기도,파주,41,99,T,
강원도,강릉,42,105,T,
강원도,대관령,42,100,T,
강원도,동해,42,106,T,
강원도,북강릉,42,104,T,
강원도,북춘천,42,93,T,
강원도,삼척,42,214,T,
강원도,속초,42,90,T,
강원도,영월,42,121,T,
강원도,원주,42,114,T,
강원도,인제,42,211,T,
강원도,정선군,42,217,T,
강원도,철원,42,95,T,
강원도,춘천,42,101,T,
강원도,태백,42,216,T,
강원도,홍천,42,212,T,
충청북도,보은,43,226,T,
충청북도,제천,43,221,T,
충청북도,청주,43,131,T,
충청북도,추풍령,43,135,T,
충청북도,충주,43,127,T,
충청남도,금산,44,238,T,
충청남도,보령,44,235,T,
충청남도,부여,44,236,T,
충청남도,서산,44,129,T,
충청남도,천안,44,232,T,
충청남도,홍성,44,177,T,
전라북도,고창,45,172,T,
전라북도,고창군,45,251,T,
전라북도,군산,45,140,T,
전라북도,남원,45,247,T,
전라북도,부안,45,243,T,
전라북도,순창군,45,254,T,
전라북도,임실,45,244,T,
전라북도,장수,45,248,T,
전라북도,전주,45,146,T,
전라북도,정읍,45,245,T,
전라남도,강진군,46,259,T,
전라남도,고흥,46,262,T,
전라남도,광양시,46,266,T,
전라남도,목포,46,165,T,
전라남도,무안,46,164,T,
전라남도,보성군,46,258,T,
전라남도,순천,46,174,T,
전라남도,여수,46,168,T,
전라남도,영광군,46,252,T,
전라남도,완도,46,170,T,
전라남도,장흥,46,260,T,
전라남도,주암,46,256,T,
전라남도,진도(첨찰산),46,175,T,
전라남도,진도군,46,268,T,
전라남도,해남,46,261,T,
전라남도,흑산도,46,169,T,
경상북도,경주시,47,283,T,
경상북도,구미,47,279,T,
경상북도,문경,47,273,T,
경상북도,봉화,47,271,T,
경상북도,상주,47,137,T,
경상북도,안동,47,136,T,
경상북도,영덕,47,277,T,
경상북도,영주,47,272,T,
경상북도,영천,47,281,T,
경상북도,울릉도,47,115,T,
경상북도,울진,47,130,T,
경상북도,의성,47,278,T,
경상북도,청송군,47,276,T,
경상북도,포항,47,138,T,
경상남도,거제,48,294,T,
경상남도,거창,48,284,T,
경상남도,김해시,48,253,T,
경상남도,남해,48,295,T,
경상남도,밀양,48,288,T,
경상남도,북창원,48,255,T,
경상남도,산청,48,289,T,
경상남도,양산시,48,257,T,
경상남도,의령군,48,263,T,
경상남도,진주,48,192,T,
경상남도,창원,48,155,T,
경상남도,통영,48,162,T,
경상남도,함양군,48,264,T,
경상남도,합천,48,285,T,
제주도,고산,49,185,T,
제주도,서귀포,49,189,T,
제주도,성산,49,187,T,
제주도,성산,49,188,T,
제주도,성산포,49,265,T,
제주도,제주,49,184,T,
