
¿ì¸®³ª¶ó±âÈÄÆò³â°ª
[°Ë»öÁ¶°Ç]
°Ë»ö±¸ºÐ : ÀÏº°Æò³â°ª
, ÁöÁ¡¸í : ÀüÃ¼
, ±â°£ : 1971~2000³â
ÁöÁ¡¸í,ÀÏ½Ã,ÇØ¸é±â¾Ð(hPa),Æò±Õ±â¿Â(¡ÆC),ÃÖ°í±â¿Â(¡ÆC),ÃÖÀú±â¿Â(¡ÆC),Æò±ÕÇ³¼Ó(m/sec),°­¼ö·®(mm),½Àµµ(%),Àü¿î·®(1/10),¼ÒÇüÁõ¹ß·®(mm),ÀÏÁ¶½Ã°£(hr)
¼ÓÃÊ,01-01,    1021.3,       1.2,       5.1,      -2.4,       3.4,       1.3,      54.8,       4.1,       2.2,       4.9
¼ÓÃÊ,01-02,    1020.5,       1.0,       4.9,      -2.4,       3.7,       2.7,      55.5,       3.4,       2.1,       5.5
¼ÓÃÊ,01-03,    1020.8,       0.9,       5.0,      -2.8,       3.6,       0.9,      51.8,       3.5,       2.1,       6.2
¼ÓÃÊ,01-04,    1021.5,      -0.3,       4.0,      -4.1,       3.6,       0.7,      49.8,       2.8,       2.0,       6.0
¼ÓÃÊ,01-05,    1021.7,      -0.3,       3.4,      -3.5,       3.7,       0.9,      53.7,       3.6,       2.1,       5.2
¼ÓÃÊ,01-06,    1021.9,       0.7,       4.8,      -3.4,       3.6,       2.0,      54.1,       3.7,       2.2,       5.9
¼ÓÃÊ,01-07,    1021.3,       1.2,       4.9,      -2.3,       3.6,       2.2,      56.0,       4.1,       2.1,       5.3
¼ÓÃÊ,01-08,    1020.1,       1.3,       5.4,      -2.2,       3.7,       2.4,      54.5,       3.9,       2.2,       5.6
¼ÓÃÊ,01-09,    1020.3,       0.8,       4.7,      -3.1,       3.9,       0.5,      52.2,       3.4,       2.2,       5.6
¼ÓÃÊ,01-10,    1021.2,      -0.2,       3.6,      -3.7,       4.2,       1.7,      51.6,       3.1,       2.2,       6.2
¼ÓÃÊ,01-11,    1022.3,      -0.2,       3.7,      -3.4,       4.0,       2.2,      57.2,       4.3,       2.4,       5.1
¼ÓÃÊ,01-12,    1021.2,       0.0,       4.1,      -3.4,       3.7,       2.8,      55.5,       3.9,       2.5,       5.5
¼ÓÃÊ,01-13,    1020.4,      -0.5,       3.3,      -3.8,       3.7,       0.4,      51.1,       2.9,       2.5,       6.6
¼ÓÃÊ,01-14,    1021.4,      -0.8,       3.1,      -4.6,       3.8,       1.5,      51.0,       3.3,       2.4,       5.9
¼ÓÃÊ,01-15,    1021.4,       0.0,       4.0,      -3.9,       3.7,       2.9,      56.4,       4.0,       2.2,       5.9
¼ÓÃÊ,01-16,    1022.0,       0.0,       3.7,      -3.6,       3.5,       1.7,      57.0,       3.5,       2.6,       5.3
¼ÓÃÊ,01-17,    1022.1,      -0.4,       3.8,      -4.1,       3.5,       1.4,      53.3,       3.5,       2.4,       6.3
¼ÓÃÊ,01-18,    1021.4,      -0.8,       3.3,      -4.4,       3.6,       0.5,      50.4,       2.8,       2.4,       6.5
¼ÓÃÊ,01-19,    1021.8,      -1.3,       3.1,      -5.1,       3.4,       0.1,      48.4,       2.6,       2.3,       6.7
¼ÓÃÊ,01-20,    1022.0,      -1.0,       3.1,      -4.5,       3.6,       1.7,      49.1,       2.2,       2.2,       6.8
¼ÓÃÊ,01-21,    1021.7,      -1.0,       3.1,      -4.6,       3.9,       1.8,      51.9,       3.3,       2.3,       5.9
¼ÓÃÊ,01-22,    1021.3,      -0.3,       3.1,      -4.3,       3.6,       0.8,      52.7,       4.2,       2.0,       5.3
¼ÓÃÊ,01-23,    1021.2,      -0.4,       3.5,      -3.9,       3.6,       1.4,      53.7,       3.3,       2.5,       5.8
¼ÓÃÊ,01-24,    1021.5,      -0.6,       3.3,      -3.8,       3.5,       3.0,      55.2,       3.8,       2.4,       5.8
¼ÓÃÊ,01-25,    1021.1,       0.0,       3.8,      -3.6,       3.7,       1.7,      53.0,       3.0,       2.5,       6.1
¼ÓÃÊ,01-26,    1021.7,      -0.3,       3.7,      -4.0,       3.4,       0.9,      48.6,       2.5,       2.5,       6.7
¼ÓÃÊ,01-27,    1022.3,      -0.7,       3.3,      -4.4,       3.8,       1.0,      50.0,       2.2,       2.4,       7.0
¼ÓÃÊ,01-28,    1023.8,      -1.3,       2.9,      -4.7,       3.7,       3.0,      49.8,       3.0,       2.1,       6.4
¼ÓÃÊ,01-29,    1022.7,      -1.0,       2.8,      -4.6,       3.9,       2.4,      54.6,       4.2,       2.1,       5.7
¼ÓÃÊ,01-30,    1023.2,      -1.6,       2.7,      -5.6,       3.8,       2.7,      55.0,       3.4,       2.2,       6.4
¼ÓÃÊ,01-31,    1021.4,      -1.1,       2.6,      -4.8,       3.6,       3.9,      56.2,       4.0,       2.2,       5.5
¼ÓÃÊ,02-01,    1020.2,      -0.9,       2.9,      -4.5,       3.9,       1.0,      53.8,       3.5,       2.3,       6.1
¼ÓÃÊ,02-02,    1020.8,      -1.4,       2.8,      -5.5,       3.9,       1.1,      50.0,       3.1,       2.4,       6.7
¼ÓÃÊ,02-03,    1021.3,      -1.0,       2.9,      -4.3,       3.6,       1.8,      54.1,       4.0,       2.3,       6.2
